name,slug,aliases,painPoints,commonTasks,recommendedCategories,monetisationScore
Accountants,accountants,"[""CPAs"", ""chartered accountants"", ""bookkeepers""]","[""client communication"", ""document review"", ""report drafting"", ""deadline management""]","[""summarise documents"", ""write client emails"", ""prepare reports"", ""automate reminders""]","[""AI writing"", ""document automation"", ""meeting notes"", ""CRM""]",5
Real Estate Agents,real-estate-agents,"[""estate agents"", ""realtors"", ""property agents""]","[""listing descriptions"", ""lead follow-up"", ""client updates"", ""social content""]","[""write property descriptions"", ""follow up leads"", ""create brochures"", ""summarise viewings""]","[""AI writing"", ""CRM"", ""design"", ""sales automation""]",5
Recruiters,recruiters,"[""talent teams"", ""recruitment consultants""]","[""candidate screening"", ""outreach"", ""job descriptions"", ""interview notes""]","[""write outreach"", ""screen CVs"", ""draft job ads"", ""summarise interviews""]","[""AI writing"", ""CRM"", ""meeting notes"", ""document automation""]",4
Sales Teams,sales-teams,"[""sales reps"", ""BDRs"", ""account executives""]","[""prospecting"", ""follow-up"", ""CRM updates"", ""personalisation""]","[""write cold emails"", ""research prospects"", ""summarise calls"", ""score leads""]","[""sales automation"", ""CRM"", ""AI writing"", ""meeting notes""]",5
Marketing Agencies,marketing-agencies,"[""digital agencies"", ""creative agencies""]","[""content production"", ""client reporting"", ""campaign planning"", ""design output""]","[""draft content"", ""generate briefs"", ""build reports"", ""create ad variations""]","[""AI writing"", ""SEO"", ""design"", ""project management""]",5
Freelancers,freelancers,"[""independent consultants"", ""solo businesses""]","[""proposals"", ""client onboarding"", ""admin"", ""marketing""]","[""write proposals"", ""create invoices"", ""draft outreach"", ""plan projects""]","[""AI writing"", ""project management"", ""CRM"", ""document automation""]",4
Consultants,consultants,"[""business consultants"", ""strategy consultants""]","[""proposals"", ""research"", ""report writing"", ""client updates""]","[""summarise research"", ""write reports"", ""prepare decks"", ""draft recommendations""]","[""AI writing"", ""document automation"", ""meeting notes"", ""project management""]",5
Ecommerce Sellers,ecommerce-sellers,"[""online stores"", ""Shopify sellers"", ""marketplace sellers""]","[""product descriptions"", ""ads"", ""support tickets"", ""SEO""]","[""write product copy"", ""generate ads"", ""reply to customers"", ""optimise listings""]","[""AI writing"", ""customer support"", ""SEO"", ""design""]",5
Teachers,teachers,"[""educators"", ""tutors""]","[""lesson planning"", ""feedback"", ""worksheets"", ""admin""]","[""create lesson plans"", ""write feedback"", ""generate quizzes"", ""summarise material""]","[""AI writing"", ""document automation"", ""chatbots""]",3
Developers,developers,"[""software engineers"", ""programmers""]","[""boilerplate"", ""debugging"", ""documentation"", ""code review""]","[""generate code"", ""write tests"", ""explain errors"", ""draft docs""]","[""AI coding"", ""chatbots"", ""project management""]",4
