name,slug,description
AI Writing,ai-writing,"Tools for drafting, editing, summarising, and repurposing written content."
AI Chatbots,ai-chatbots,"General-purpose assistants for reasoning, writing, coding, and analysis."
AI Meeting Notes,ai-meeting-notes,"Tools that record, transcribe, summarise, and organise meetings."
AI Design,ai-design,"Tools for images, brand assets, presentations, and visual content."
AI Video,ai-video,"Tools for video generation, editing, subtitles, and repurposing."
AI SEO,ai-seo,"Tools for keyword research, content briefs, optimisation, and search workflows."
AI Sales Automation,ai-sales-automation,"Tools for prospecting, outreach, follow-up, and sales workflows."
AI CRM,ai-crm,Customer relationship management systems with AI features.
AI Document Automation,ai-document-automation,"Tools for extracting, summarising, and generating documents."
AI Coding,ai-coding,"Tools for code generation, debugging, review, and documentation."
AI Customer Support,ai-customer-support,Chatbots and helpdesk tools for customer support workflows.
AI Project Management,ai-project-management,"Tools that support planning, task management, and collaboration."
